genre,G,NC-17,NR,PG,PG-13,R,TV-14,TV-G,TV-MA,TV-PG,TV-Y,TV-Y7,TV-Y7-FV,UR
Action &amp; Adventure,7,,298,300,1970,2219,1432,,1818,181,,,,26
Anime Features,,,115,9,130,,238,,73,85,,19,,
Anime Series,,,,,,,63,,13,8,,15,,
British TV Shows,,,,,,,36,1,50,100,,,,
Children &amp; Family Movies,557,,,2495,146,,120,572,,726,289,489,120,
Classic &amp; Cult TV,,,,,,,9,,7,,,,,
Classic Movies,128,,43,142,129,243,80,11,26,87,,,,
Comedies,258,,466,1717,1496,2203,2834,187,2685,1345,52,171,41,40
Crime TV Shows,,,,,,,152,,152,,,,,
Cult Movies,,,55,9,162,548,25,,31,35,,,,
Documentaries,50,,37,29,54,47,227,18,345,199,,36,,
Docuseries,,,,,,,22,1,6,15,,,,
Dramas,17,39,1199,902,1881,4059,4166,53,5558,1479,,40,,63
Faith &amp; Spirituality,,,,90,76,,160,2,,100,,,,
Horror Movies,,,202,9,320,999,294,,1405,10,,,,
Independent Movies,14,39,557,75,294,2232,1118,19,2543,190,,10,,9
International Movies,40,39,1256,141,905,1672,5886,46,7095,1754,,20,,54
International TV Shows,,,,,,,240,1,333,107,,,,
Kids' TV,,,,,,,,,,18,44,125,,
Korean TV Shows,,,,,,,52,,53,6,,,,
LGBTQ Movies,,,31,,49,135,55,,191,14,,12,,
Movies,,,42,,,,5,3,39,59,47,57,,
Music &amp; Musicals,90,,44,143,84,65,635,42,362,266,10,7,,
Reality TV,,,,,,,,,,4,,,,
Romantic Movies,,,86,109,735,413,1105,28,689,588,,,,52
Romantic TV Shows,,,,,,,77,,50,15,,,,
Sci-Fi &amp; Fantasy,19,,64,190,1143,587,254,,550,96,,,,
Science &amp; Nature TV,,,,,,,,,,7,,,,
Spanish-Language TV Shows,,,,,,,62,,52,,,,,
Sports Movies,,,48,170,142,121,176,22,210,99,,20,,
Stand-Up Comedy,,,41,1,,15,26,1,285,5,,,,
Stand-Up Comedy &amp; Talk Shows,,,,,,,11,,3,6,,,,
TV Action &amp; Adventure,,,,,,,92,,30,71,,60,,
TV Comedies,,,,,,,29,,98,16,15,18,,
TV Dramas,,,,,,,151,,256,76,,,,
TV Horror,,,,,,,9,,36,,,,,
TV Mysteries,,,,,,,33,,33,,,,,
TV Sci-Fi &amp; Fantasy,,,,,,,51,,,56,,,,
TV Shows,,,,,,9,30,,8,,,,,
TV Thrillers,,,,,,,3,,75,,,,,
Teen TV Shows,,,,,,,29,,,,,,,
Thrillers,,,137,,462,1508,599,,1832,35,,,,
